 (n,m)=          10           0
 clat=   4.2539167833891627      ncells=           5
         200
 
 C   3.7175328910829069        1.2078996577064962        3.5449306528243021     
 C   3.1623223588749707        2.2975616809848978        2.8359445222594415     
 C   3.1623223588749712        2.2975616809848973        1.4179722611297207     
 C   2.2975616809848969        3.1623223588749712       0.70898613056486037     
 C   2.2975616809848969        3.1623223588749712        3.5449306528243021     
 C   1.2078996577064958        3.7175328910829073        2.8359445222594415     
 C   1.2078996577064962        3.7175328910829069        1.4179722611297207     
 C  -6.2859028255824325E-016   3.9088454023369494       0.70898613056486037     
 C  -6.2859028255824325E-016   3.9088454023369494        3.5449306528243021     
 C  -1.2078996577064967        3.7175328910829069        2.8359445222594415     
 C  -1.2078996577064967        3.7175328910829069        1.4179722611297207     
 C  -2.2975616809848969        3.1623223588749712       0.70898613056486037     
 C  -2.2975616809848969        3.1623223588749712        3.5449306528243021     
 C  -3.1623223588749720        2.2975616809848960        2.8359445222594415     
 C  -3.1623223588749707        2.2975616809848978        1.4179722611297207     
 C  -3.7175328910829069        1.2078996577064964       0.70898613056486037     
 C  -3.7175328910829069        1.2078996577064964        3.5449306528243021     
 C  -3.9088454023369494       -1.2571805651164867E-015   2.8359445222594415     
 C  -3.9088454023369494        4.7869550103337928E-016   1.4179722611297207     
 C  -3.7175328910829073       -1.2078996577064958       0.70898613056486037     
 C  -3.7175328910829073       -1.2078996577064958        3.5449306528243021     
 C  -3.1623223588749703       -2.2975616809848982        2.8359445222594415     
 C  -3.1623223588749716       -2.2975616809848969        1.4179722611297207     
 C  -2.2975616809848978       -3.1623223588749707       0.70898613056486037     
 C  -2.2975616809848978       -3.1623223588749707        3.5449306528243021     
 C  -1.2078996577064967       -3.7175328910829069        2.8359445222594415     
 C  -1.2078996577064967       -3.7175328910829069        1.4179722611297207     
 C   2.7537088807496629E-015  -3.9088454023369494       0.70898613056486037     
 C   2.7537088807496629E-015  -3.9088454023369494        3.5449306528243021     
 C   1.2078996577064955       -3.7175328910829073        2.8359445222594415     
 C   1.2078996577064955       -3.7175328910829073        1.4179722611297207     
 C   2.2975616809848995       -3.1623223588749694       0.70898613056486037     
 C   2.2975616809848995       -3.1623223588749694        3.5449306528243021     
